date,lead_time,predicted_level_ft,global_pf,zone_id,zone_name,zone_pf,zone_vulnerability,impact_level,allocation_mode,units_allocated
2019-01-01,2d,26.186906814575195,0.05,Z1N,North Riverfront Floodplain,0.05,0.828,NORMAL,CRISP,4
2019-01-01,2d,26.186906814575195,0.05,Z1S,South Riverfront Floodplain,0.0492,0.8325,NORMAL,CRISP,4
2019-01-01,2d,26.186906814575195,0.05,Z2,Central Business & Medical Core,0.0441,0.7975,NORMAL,CRISP,3
2019-01-01,2d,26.186906814575195,0.05,Z3,Inland South Residential Plateau,0.0352,0.48,NORMAL,CRISP,3
2019-01-01,2d,26.186906814575195,0.05,Z4,Inland North Residential Plateau,0.0365,0.53,NORMAL,CRISP,3
2019-01-01,2d,26.186906814575195,0.05,ZC,Central / Special ZIPs,0.0429,0.475,NORMAL,CRISP,3
2019-01-02,2d,28.352717207265105,0.0779,Z1N,North Riverfront Floodplain,0.0779,0.828,NORMAL,CRISP,4
2019-01-02,2d,28.352717207265105,0.0779,Z1S,South Riverfront Floodplain,0.0767,0.8325,NORMAL,CRISP,4
2019-01-02,2d,28.352717207265105,0.0779,Z2,Central Business & Medical Core,0.0688,0.7975,NORMAL,CRISP,3
2019-01-02,2d,28.352717207265105,0.0779,Z3,Inland South Residential Plateau,0.0549,0.48,NORMAL,CRISP,3
2019-01-02,2d,28.352717207265105,0.0779,Z4,Inland North Residential Plateau,0.0569,0.53,NORMAL,CRISP,3
2019-01-02,2d,28.352717207265105,0.0779,ZC,Central / Special ZIPs,0.0668,0.475,NORMAL,CRISP,3
2019-01-03,2d,29.738214091447947,0.1876,Z1N,North Riverfront Floodplain,0.1876,0.828,NORMAL,CRISP,4
2019-01-03,2d,29.738214091447947,0.1876,Z1S,South Riverfront Floodplain,0.1847,0.8325,NORMAL,CRISP,4
2019-01-03,2d,29.738214091447947,0.1876,Z2,Central Business & Medical Core,0.1656,0.7975,NORMAL,CRISP,3
2019-01-03,2d,29.738214091447947,0.1876,Z3,Inland South Residential Plateau,0.1321,0.48,NORMAL,CRISP,3
2019-01-03,2d,29.738214091447947,0.1876,Z4,Inland North Residential Plateau,0.1369,0.53,NORMAL,CRISP,3
2019-01-03,2d,29.738214091447947,0.1876,ZC,Central / Special ZIPs,0.1608,0.475,NORMAL,CRISP,3
2019-01-04,2d,26.011159711815104,0.05,Z1N,North Riverfront Floodplain,0.05,0.828,NORMAL,CRISP,4
2019-01-04,2d,26.011159711815104,0.05,Z1S,South Riverfront Floodplain,0.0492,0.8325,NORMAL,CRISP,4
2019-01-04,2d,26.011159711815104,0.05,Z2,Central Business & Medical Core,0.0441,0.7975,NORMAL,CRISP,3
2019-01-04,2d,26.011159711815104,0.05,Z3,Inland South Residential Plateau,0.0352,0.48,NORMAL,CRISP,3
2019-01-04,2d,26.011159711815104,0.05,Z4,Inland North Residential Plateau,0.0365,0.53,NORMAL,CRISP,3
2019-01-04,2d,26.011159711815104,0.05,ZC,Central / Special ZIPs,0.0429,0.475,NORMAL,CRISP,3
2019-01-05,2d,25.448148200973694,0.05,Z1N,North Riverfront Floodplain,0.05,0.828,NORMAL,CRISP,4
2019-01-05,2d,25.448148200973694,0.05,Z1S,South Riverfront Floodplain,0.0492,0.8325,NORMAL,CRISP,4
2019-01-05,2d,25.448148200973694,0.05,Z2,Central Business & Medical Core,0.0441,0.7975,NORMAL,CRISP,3
2019-01-05,2d,25.448148200973694,0.05,Z3,Inland South Residential Plateau,0.0352,0.48,NORMAL,CRISP,3
2019-01-05,2d,25.448148200973694,0.05,Z4,Inland North Residential Plateau,0.0365,0.53,NORMAL,CRISP,3
2019-01-05,2d,25.448148200973694,0.05,ZC,Central / Special ZIPs,0.0429,0.475,NORMAL,CRISP,3
