date,lead_time,predicted_level_ft,global_pf,zone_id,zone_name,zone_pf,zone_vulnerability,impact_level,allocation_mode,units_allocated
2019-01-01,1d,26.03372936449956,0.05,Z1N,North Riverfront Floodplain,0.05,0.828,NORMAL,CRISP,4
2019-01-01,1d,26.03372936449956,0.05,Z1S,South Riverfront Floodplain,0.0492,0.8325,NORMAL,CRISP,4
2019-01-01,1d,26.03372936449956,0.05,Z2,Central Business & Medical Core,0.0441,0.7975,NORMAL,CRISP,3
2019-01-01,1d,26.03372936449956,0.05,Z3,Inland South Residential Plateau,0.0352,0.48,NORMAL,CRISP,3
2019-01-01,1d,26.03372936449956,0.05,Z4,Inland North Residential Plateau,0.0365,0.53,NORMAL,CRISP,3
2019-01-01,1d,26.03372936449956,0.05,ZC,Central / Special ZIPs,0.0429,0.475,NORMAL,CRISP,3
2019-01-02,1d,29.6558488367369,0.1811,Z1N,North Riverfront Floodplain,0.1811,0.828,NORMAL,CRISP,4
2019-01-02,1d,29.6558488367369,0.1811,Z1S,South Riverfront Floodplain,0.1783,0.8325,NORMAL,CRISP,4
2019-01-02,1d,29.6558488367369,0.1811,Z2,Central Business & Medical Core,0.1598,0.7975,NORMAL,CRISP,3
2019-01-02,1d,29.6558488367369,0.1811,Z3,Inland South Residential Plateau,0.1275,0.48,NORMAL,CRISP,3
2019-01-02,1d,29.6558488367369,0.1811,Z4,Inland North Residential Plateau,0.1321,0.53,NORMAL,CRISP,3
2019-01-02,1d,29.6558488367369,0.1811,ZC,Central / Special ZIPs,0.1552,0.475,NORMAL,CRISP,3
2019-01-03,1d,27.32898978429919,0.05,Z1N,North Riverfront Floodplain,0.05,0.828,NORMAL,CRISP,4
2019-01-03,1d,27.32898978429919,0.05,Z1S,South Riverfront Floodplain,0.0492,0.8325,NORMAL,CRISP,4
2019-01-03,1d,27.32898978429919,0.05,Z2,Central Business & Medical Core,0.0441,0.7975,NORMAL,CRISP,3
2019-01-03,1d,27.32898978429919,0.05,Z3,Inland South Residential Plateau,0.0352,0.48,NORMAL,CRISP,3
2019-01-03,1d,27.32898978429919,0.05,Z4,Inland North Residential Plateau,0.0365,0.53,NORMAL,CRISP,3
2019-01-03,1d,27.32898978429919,0.05,ZC,Central / Special ZIPs,0.0429,0.475,NORMAL,CRISP,3
2019-01-04,1d,26.393352031076187,0.05,Z1N,North Riverfront Floodplain,0.05,0.828,NORMAL,CRISP,4
2019-01-04,1d,26.393352031076187,0.05,Z1S,South Riverfront Floodplain,0.0492,0.8325,NORMAL,CRISP,4
2019-01-04,1d,26.393352031076187,0.05,Z2,Central Business & Medical Core,0.0441,0.7975,NORMAL,CRISP,3
2019-01-04,1d,26.393352031076187,0.05,Z3,Inland South Residential Plateau,0.0352,0.48,NORMAL,CRISP,3
2019-01-04,1d,26.393352031076187,0.05,Z4,Inland North Residential Plateau,0.0365,0.53,NORMAL,CRISP,3
2019-01-04,1d,26.393352031076187,0.05,ZC,Central / Special ZIPs,0.0429,0.475,NORMAL,CRISP,3
2019-01-05,1d,24.94223651193833,0.05,Z1N,North Riverfront Floodplain,0.05,0.828,NORMAL,CRISP,4
2019-01-05,1d,24.94223651193833,0.05,Z1S,South Riverfront Floodplain,0.0492,0.8325,NORMAL,CRISP,4
2019-01-05,1d,24.94223651193833,0.05,Z2,Central Business & Medical Core,0.0441,0.7975,NORMAL,CRISP,3
2019-01-05,1d,24.94223651193833,0.05,Z3,Inland South Residential Plateau,0.0352,0.48,NORMAL,CRISP,3
2019-01-05,1d,24.94223651193833,0.05,Z4,Inland North Residential Plateau,0.0365,0.53,NORMAL,CRISP,3
2019-01-05,1d,24.94223651193833,0.05,ZC,Central / Special ZIPs,0.0429,0.475,NORMAL,CRISP,3
2019-01-06,1d,23.170737916370346,0.05,Z1N,North Riverfront Floodplain,0.05,0.828,NORMAL,CRISP,4
2019-01-06,1d,23.170737916370346,0.05,Z1S,South Riverfront Floodplain,0.0492,0.8325,NORMAL,CRISP,4
2019-01-06,1d,23.170737916370346,0.05,Z2,Central Business & Medical Core,0.0441,0.7975,NORMAL,CRISP,3
2019-01-06,1d,23.170737916370346,0.05,Z3,Inland South Residential Plateau,0.0352,0.48,NORMAL,CRISP,3
2019-01-06,1d,23.170737916370346,0.05,Z4,Inland North Residential Plateau,0.0365,0.53,NORMAL,CRISP,3
2019-01-06,1d,23.170737916370346,0.05,ZC,Central / Special ZIPs,0.0429,0.475,NORMAL,CRISP,3
2019-01-07,1d,21.550832959365,0.05,Z1N,North Riverfront Floodplain,0.05,0.828,NORMAL,CRISP,4
2019-01-07,1d,21.550832959365,0.05,Z1S,South Riverfront Floodplain,0.0492,0.8325,NORMAL,CRISP,4
2019-01-07,1d,21.550832959365,0.05,Z2,Central Business & Medical Core,0.0441,0.7975,NORMAL,CRISP,3
2019-01-07,1d,21.550832959365,0.05,Z3,Inland South Residential Plateau,0.0352,0.48,NORMAL,CRISP,3
2019-01-07,1d,21.550832959365,0.05,Z4,Inland North Residential Plateau,0.0365,0.53,NORMAL,CRISP,3
2019-01-07,1d,21.550832959365,0.05,ZC,Central / Special ZIPs,0.0429,0.475,NORMAL,CRISP,3
2019-01-08,1d,20.409115634796983,0.05,Z1N,North Riverfront Floodplain,0.05,0.828,NORMAL,CRISP,4
2019-01-08,1d,20.409115634796983,0.05,Z1S,South Riverfront Floodplain,0.0492,0.8325,NORMAL,CRISP,4
2019-01-08,1d,20.409115634796983,0.05,Z2,Central Business & Medical Core,0.0441,0.7975,NORMAL,CRISP,3
2019-01-08,1d,20.409115634796983,0.05,Z3,Inland South Residential Plateau,0.0352,0.48,NORMAL,CRISP,3
2019-01-08,1d,20.409115634796983,0.05,Z4,Inland North Residential Plateau,0.0365,0.53,NORMAL,CRISP,3
2019-01-08,1d,20.409115634796983,0.05,ZC,Central / Special ZIPs,0.0429,0.475,NORMAL,CRISP,3
2019-01-09,1d,19.4035675208308,0.05,Z1N,North Riverfront Floodplain,0.05,0.828,NORMAL,CRISP,4
2019-01-09,1d,19.4035675208308,0.05,Z1S,South Riverfront Floodplain,0.0492,0.8325,NORMAL,CRISP,4
2019-01-09,1d,19.4035675208308,0.05,Z2,Central Business & Medical Core,0.0441,0.7975,NORMAL,CRISP,3
2019-01-09,1d,19.4035675208308,0.05,Z3,Inland South Residential Plateau,0.0352,0.48,NORMAL,CRISP,3
2019-01-09,1d,19.4035675208308,0.05,Z4,Inland North Residential Plateau,0.0365,0.53,NORMAL,CRISP,3
2019-01-09,1d,19.4035675208308,0.05,ZC,Central / Special ZIPs,0.0429,0.475,NORMAL,CRISP,3
2019-01-10,1d,19.041753003294573,0.05,Z1N,North Riverfront Floodplain,0.05,0.828,NORMAL,CRISP,4
2019-01-10,1d,19.041753003294573,0.05,Z1S,South Riverfront Floodplain,0.0492,0.8325,NORMAL,CRISP,4
2019-01-10,1d,19.041753003294573,0.05,Z2,Central Business & Medical Core,0.0441,0.7975,NORMAL,CRISP,3
2019-01-10,1d,19.041753003294573,0.05,Z3,Inland South Residential Plateau,0.0352,0.48,NORMAL,CRISP,3
2019-01-10,1d,19.041753003294573,0.05,Z4,Inland North Residential Plateau,0.0365,0.53,NORMAL,CRISP,3
2019-01-10,1d,19.041753003294573,0.05,ZC,Central / Special ZIPs,0.0429,0.475,NORMAL,CRISP,3
2019-01-11,1d,19.946252214088517,0.05,Z1N,North Riverfront Floodplain,0.05,0.828,NORMAL,CRISP,4
2019-01-11,1d,19.946252214088517,0.05,Z1S,South Riverfront Floodplain,0.0492,0.8325,NORMAL,CRISP,4
2019-01-11,1d,19.946252214088517,0.05,Z2,Central Business & Medical Core,0.0441,0.7975,NORMAL,CRISP,3
2019-01-11,1d,19.946252214088517,0.05,Z3,Inland South Residential Plateau,0.0352,0.48,NORMAL,CRISP,3
2019-01-11,1d,19.946252214088517,0.05,Z4,Inland North Residential Plateau,0.0365,0.53,NORMAL,CRISP,3
2019-01-11,1d,19.946252214088517,0.05,ZC,Central / Special ZIPs,0.0429,0.475,NORMAL,CRISP,3
2019-01-12,1d,20.38989971528639,0.05,Z1N,North Riverfront Floodplain,0.05,0.828,NORMAL,CRISP,4
2019-01-12,1d,20.38989971528639,0.05,Z1S,South Riverfront Floodplain,0.0492,0.8325,NORMAL,CRISP,4
2019-01-12,1d,20.38989971528639,0.05,Z2,Central Business & Medical Core,0.0441,0.7975,NORMAL,CRISP,3
2019-01-12,1d,20.38989971528639,0.05,Z3,Inland South Residential Plateau,0.0352,0.48,NORMAL,CRISP,3
2019-01-12,1d,20.38989971528639,0.05,Z4,Inland North Residential Plateau,0.0365,0.53,NORMAL,CRISP,3
